Number,Name,Infections,Channel,CF,I start,I end,Size
90,g4g_00091.wav,2,0,1.3971933858750722,85,105,440294
44,g4g_00045.wav,2,1,0.9107816425649581,89,106,355840
113,g4g_00114.wav,1,1,0.6092514697768973,93,110,368640
51,g4g_00052.wav,2,0,0.7646195605888324,95,111,350918
57,g4g_00058.wav,2,3,0.9253930608121539,98,113,316109
209,g4g_00210.wav,2,2,0.6619576914919411,101,116,317990
106,g4g_00107.wav,2,0,1.1938431224763129,98,117,397958
165,g4g_00166.wav,1,0,1.0688398996547621,102,118,332102
217,g4g_00218.wav,2,2,1.202447582466331,103,118,312346
80,g4g_00081.wav,1,0,0.5381090764990476,102,118,341510
157,g4g_00158.wav,2,3,0.917747559877845,104,120,346214
140,g4g_00141.wav,2,1,1.3183355936573822,106,122,332102
171,g4g_00172.wav,2,3,1.240886923867896,107,124,355622
18,g4g_00019.wav,2,2,0.7827942860541712,103,125,476045
6,g4g_00007.wav,2,0,1.07423190716875,109,125,352800
173,g4g_00174.wav,2,3,1.2429116122505306,107,127,439354
124,g4g_00125.wav,2,1,1.0010269867358899,110,128,375379
72,g4g_00073.wav,2,1,0.9894636124417797,111,129,395136
108,g4g_00109.wav,2,0,0.9738589610511875,110,130,422419
60,g4g_00061.wav,1,1,0.6266827457221893,115,130,314227
218,g4g_00219.wav,2,1,0.8734761530473689,115,130,314227
134,g4g_00135.wav,2,2,0.9222387164411674,116,132,331162
126,g4g_00127.wav,2,2,0.9518528417082419,115,133,375379
26,g4g_00027.wav,2,0,1.093439623470465,117,133,336384
55,g4g_00056.wav,2,2,0.9600295481428665,118,133,316109
83,g4g_00084.wav,2,0,1.3349300511824898,117,133,341510
1,g4g_00002.wav,1,0,1.2698339872990363,113,133,431827
196,g4g_00197.wav,1,1,0.9513400054965134,117,133,348096
84,g4g_00085.wav,2,2,0.9746027619394271,114,134,440294
168,g4g_00169.wav,2,2,1.0533831922448609,117,134,374438
154,g4g_00155.wav,2,3,0.7579320861081439,119,135,332102
166,g4g_00167.wav,2,1,0.7367023876225081,119,135,332102
27,g4g_00028.wav,2,1,0.7036187453083651,119,135,336384
224,g4g_00225.wav,2,3,1.2017427672287404,118,135,365030
4,g4g_00005.wav,2,2,1.0314613688396959,114,135,455347
20,g4g_00021.wav,2,0,1.0776270633542633,119,135,345856
215,g4g_00216.wav,1,1,1.1354667277517583,119,135,348096
158,g4g_00159.wav,2,1,1.1609026546587797,115,135,438413
136,g4g_00137.wav,2,1,0.8662439384196445,120,136,332102
216,g4g_00217.wav,2,1,1.2012079491677234,121,136,312346
58,g4g_00059.wav,2,0,1.1351150004548058,121,136,316109
222,g4g_00223.wav,2,2,1.2805707230706749,119,136,364090
63,g4g_00064.wav,1,2,0.9558209419070929,115,137,469459
198,g4g_00199.wav,2,1,1.1319243371436396,117,137,428299
221,g4g_00222.wav,2,1,0.7731917771647454,120,137,364090
2,g4g_00003.wav,1,0,0.9430245982697196,117,137,431827
156,g4g_00157.wav,1,3,0.7883498561578015,121,137,346214
204,g4g_00205.wav,2,0,0.655525891694611,121,137,352800
179,g4g_00180.wav,2,2,1.1712817304325014,121,138,356563
116,g4g_00117.wav,2,3,0.807580529846629,123,138,317440
208,g4g_00209.wav,2,1,0.593506026209856,123,138,317990
111,g4g_00112.wav,1,3,1.1749206763656166,122,138,342451
69,g4g_00070.wav,1,1,0.817544912524961,120,138,388550
115,g4g_00116.wav,2,3,1.0273075903849738,121,138,368640
85,g4g_00086.wav,1,2,0.8590982505641453,118,138,440294
152,g4g_00153.wav,2,2,0.9228728451669108,123,139,331162
219,g4g_00220.wav,2,3,0.8203169721820046,124,139,314227
129,g4g_00130.wav,2,1,0.5286197855779204,119,139,431827
15,g4g_00016.wav,2,3,0.9713710211485607,121,139,393254
119,g4g_00120.wav,1,2,1.0586962305652865,125,139,306176
133,g4g_00134.wav,2,2,0.7186581234624078,124,140,332102
187,g4g_00188.wav,2,2,1.2577677038588762,123,140,357504
32,g4g_00033.wav,2,1,0.9780871445524844,122,140,379648
59,g4g_00060.wav,2,0,0.7796821305027344,125,140,316109
50,g4g_00051.wav,1,2,1.0588952613364617,124,140,350918
172,g4g_00173.wav,2,3,1.195836959799895,120,140,439354
8,g4g_00009.wav,2,2,0.8855957585375354,123,140,374438
100,g4g_00101.wav,2,2,0.662573903922688,125,141,343392
112,g4g_00113.wav,2,2,0.8258206347344109,124,141,368640
123,g4g_00124.wav,2,0,1.4264024384346137,124,142,375379
143,g4g_00144.wav,1,3,1.2871016573917797,126,142,332102
146,g4g_00147.wav,2,2,0.7828462020065033,126,142,332102
98,g4g_00099.wav,2,3,0.7550290337718997,127,142,315168
54,g4g_00055.wav,2,2,0.7348854733901204,127,142,316109
194,g4g_00195.wav,1,0,0.8416500754203406,126,142,347155
149,g4g_00150.wav,2,0,1.2714368873090143,122,142,439354
38,g4g_00039.wav,2,0,1.1588774359452476,125,143,379904
67,g4g_00068.wav,2,3,1.0078363073995313,122,143,449702
19,g4g_00020.wav,2,0,0.8248750335387804,121,143,476045
92,g4g_00093.wav,2,2,0.8849382792211352,123,143,440294
